City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
677,Santa Rosalia,MX,81.81,overcast clouds,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
678,Chinsali,ZM,62.02,scattered clouds,-10.5414,32.0816,Chisakatu Guest House
681,Eureka,US,60.21,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
682,Lakatoro,VU,84.2,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
683,Ruteng,ID,64.4,overcast clouds,-8.6136,120.4721,Hotel FX 72
684,Charters Towers,AU,74.57,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
685,Inhambane,MZ,72.21,moderate rain,-23.865,35.3833,Oceano
686,Hualmay,PE,67.19,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
687,Hambantota,LK,79.38,overcast clouds,6.1241,81.1185,Bungalow 63
688,Porto Nacional,BR,78.8,overcast clouds,-10.7081,-48.4172,Vila Real Hotel
690,Chadiza,ZM,62.87,few clouds,-14.0678,32.4392,Sankhani Guest House
693,Mucurapo,TT,79.97,overcast clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
694,Miraflores,MX,86.65,scattered clouds,19.2167,-98.8083,Hotel Mansión
697,Yei,SS,71.11,broken clouds,4.095,30.6779,City Link Hotel
698,Puerto Carreno,CO,85.98,broken clouds,6.189,-67.4859,Casa Hotel Victoria
701,Adelaide,AU,63.41,broken clouds,-34.9333,138.6,The Chancellor on Currie
702,Sao Jose Da Coroa Grande,BR,78.55,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
704,Puerto Plata,DO,78.64,broken clouds,19.7934,-70.6884,Be Live Collection Marien
705,Ocala,US,80.94,overcast clouds,29.1872,-82.1401,Golden Palms Inn & Suites
706,Vangaindrano,MG,73.24,light rain,-23.35,47.6,Hotel Fanilo
708,Darnah,LY,60.42,clear sky,32.767,22.6367,فندق الفردوس
709,Gorontalo,ID,77.25,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
712,Gutad,PH,81.97,few clouds,14.9274,120.4894,KhielKhienahouse
715,Dodoma,TZ,64.31,overcast clouds,-6.1722,35.7395,Royal Village Hotel
716,Los Llanos De Aridane,ES,67.75,scattered clouds,28.6585,-17.9182,Valle Aridane
718,Gombong,ID,77.59,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
720,Iralaya,HN,81.32,clear sky,15.0,-83.2333,Iglesia morava renovada
721,San Isidro,PE,63.5,broken clouds,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
722,Porto Novo,BJ,84.02,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
723,Labuhan,ID,79.65,scattered clouds,-6.8844,112.2051,DoubleFAG
725,Dehloran,IR,73.08,clear sky,32.6941,47.2679,کافه گیم استورم
726,Soyo,AO,78.49,overcast clouds,-6.1349,12.3689,Hotel Mpampa
729,Sabang,ID,82.56,overcast clouds,5.8933,95.3214,Hotel Citra
732,Ushtobe,KZ,60.76,broken clouds,45.2514,77.9838,Filipin Squad
734,Christchurch,NZ,61.92,few clouds,-43.5333,172.6333,The George
736,Andapa,MG,65.77,scattered clouds,-14.65,49.65,Ramanandraibe Andapa
741,Chabahar,IR,81.36,clear sky,25.2919,60.643,هتل گدروشیا
744,Waingapu,ID,80.17,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
752,Tucumcari,US,86.94,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
