City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
269,Fairbanks,US,2022-04-09 02:10:14,64.8378,-147.7164,15.03,46,75,16.11
270,Bilma,NE,2022-04-09 02:10:19,18.6853,12.9164,83.21,7,6,7.67
271,Camacha,PT,2022-04-09 02:09:45,33.0833,-16.3333,53.02,82,20,3.44
272,Kavieng,PG,2022-04-09 02:09:59,-2.5744,150.7967,80.04,84,100,14.45
273,Shimoda,JP,2022-04-09 02:10:19,34.6667,138.95,65.53,66,0,13.65
274,Svetlaya,RU,2022-04-09 02:11:20,46.5389,138.3297,39.78,72,72,6.58
275,Saint George,US,2022-04-09 01:59:51,37.1041,-113.5841,72.72,17,6,0.87
276,Canakkale,TR,2022-04-09 02:11:20,40.0833,26.8333,57.78,55,5,4.0
277,Standish,US,2022-04-09 02:11:21,43.9831,-83.9589,37.83,76,95,10.22
278,Makakilo City,US,2022-04-09 02:11:21,21.3469,-158.0858,79.12,65,100,14.97
279,Labuhan,ID,2022-04-09 02:10:12,-6.8844,112.2051,81.9,76,100,10.4
280,Derzhavinsk,KZ,2022-04-09 02:11:22,51.1,66.3167,37.0,85,100,7.67
281,Mago,RU,2022-04-09 02:11:23,53.2514,140.1822,31.46,64,61,1.05
282,Comodoro Rivadavia,AR,2022-04-09 02:07:35,-45.8667,-67.5,46.26,100,0,4.61
283,Sechura,PE,2022-04-09 02:11:23,-5.5569,-80.8222,71.42,77,75,13.24
284,Pelym,RU,2022-04-09 02:11:23,61.0108,61.9978,28.99,92,100,5.5
285,San Buenaventura,MX,2022-04-09 02:11:24,27.0833,-101.5333,76.48,22,37,12.68
286,Swan Hill,AU,2022-04-09 02:11:24,-35.3378,143.5544,73.54,57,50,11.56
287,Fjerritslev,DK,2022-04-09 02:11:24,57.0813,9.2664,38.82,60,5,25.64
288,Kuching,MY,2022-04-09 02:11:25,1.55,110.3333,79.02,89,20,2.3
289,Ironton,US,2022-04-09 02:11:25,38.5368,-82.6829,40.32,97,100,5.75
